id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,ethnicity
CA-2013-0000113,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,49+,,Other Asian,Asian,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,A
CA-2013-0000114,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,25-32,,White,White,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,W
CA-2013-0000115,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,40-48,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000116,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,15-25,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000117,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,15-25,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000118,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,33-39,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,Verbal Warning,FALSE,B
CA-2013-0000119,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000120,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,33-39,,White,White,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,W
CA-2013-0000121,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,15-25,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000122,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,49+,,White,White,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,W
CA-2013-0000123,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,25-32,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000124,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000125,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,25-32,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000126,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,49+,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000127,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,40-48,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000128,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,49+,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
